scroller   scroll to 0 105
clicker    click at 88 595
typer       type 106 at 808 702
clicker    click at 69 45
clicker    mousedown at 830 200
typer       type 196 at 646 503
toucher    multitouch at 652 433 {"scale":0.3507,"rotation":62,"radius":142,"distanceX":-14,"distanceY":-20,"duration":844}
toucher    tap at 509 456 {"duration":656}
toucher    tap at 498 680 {"duration":647}
scroller   scroll to 0 104
toucher    gesture at 31 722 {"distanceX":-18,"distanceY":25,"duration":322}
typer       type 101 at 687 164
scroller   scroll to 0 115
scroller   scroll to 0 223
scroller   scroll to 0 48
typer       type 143 at 404 731
scroller   scroll to 0 46
clicker    mousedown at 969 129
typer       type 224 at 592 610
clicker    dblclick at 655 409
clicker    click at 145 610
typer       type 255 at 57 259
clicker    mouseover at 595 511
clicker    click at 269 406
typer       type 242 at 533 710
toucher    gesture at 43 571 {"distanceX":131,"distanceY":-39,"duration":488}
scroller   scroll to 0 237
toucher    gesture at 410 485 {"distanceX":-31,"distanceY":142,"duration":334}
clicker    mouseover at 61 424
typer       type 102 at 636 344
scroller   scroll to 0 142
clicker    mouseover at 993 180
toucher    gesture at 472 34 {"distanceX":111,"distanceY":24,"duration":228}
typer       type 219 at 415 453
typer       type 268 at 706 488
typer       type 97 at 11 731
toucher    doubletap at 778 396 {"duration":392}
clicker    mouseover at 269 302
toucher    doubletap at 213 500 {"duration":450}
toucher    gesture at 72 122 {"distanceX":-57,"distanceY":179,"duration":416}
toucher    doubletap at 137 638 {"duration":381}
clicker    mousemove at 872 70
clicker    mousedown at 924 167
toucher    tap at 164 644 {"duration":430}
typer       type 65 at 409 249
typer       type 278 at 542 214
clicker    mouseout at 279 269
typer       type 99 at 971 531
scroller   scroll to 1 267
toucher    doubletap at 576 47 {"duration":63}
toucher    gesture at 876 27 {"distanceX":86,"distanceY":146,"duration":115}
toucher    gesture at 389 645 {"distanceX":-9,"distanceY":-98,"duration":68}
clicker    mousemove at 115 228
clicker    mouseover at 682 711
typer       type 59 at 698 745
toucher    multitouch at 303 158 {"scale":0.9959,"rotation":31,"radius":124,"distanceX":6,"distanceY":-7,"duration":781}
clicker    click at 874 589
typer       type 23 at 81 471
scroller   scroll to 0 42
clicker    click at 67 55
clicker    mousedown at 26 534
toucher    doubletap at 371 291 {"duration":596}
toucher    gesture at 516 374 {"distanceX":136,"distanceY":31,"duration":429}
typer       type 235 at 471 764
clicker    click at 973 105
clicker    mousedown at 223 197
toucher    multitouch at 561 151 {"scale":1.0386,"rotation":-68,"radius":181,"distanceX":15,"distanceY":-18,"duration":496}
toucher    tap at 549 93 {"duration":486}
toucher    multitouch at 202 742 {"scale":0.9881,"rotation":96,"radius":120,"distanceX":-12,"distanceY":-13,"duration":722}
toucher    tap at 389 220 {"duration":545}
scroller   scroll to 0 238
scroller   scroll to 0 109
scroller   scroll to 0 181
toucher    tap at 336 686 {"duration":604}
toucher    gesture at 51 198 {"distanceX":53,"distanceY":58,"duration":139}
toucher    doubletap at 906 251 {"duration":384}
toucher    multitouch at 269 126 {"scale":0.2197,"rotation":58,"radius":84,"distanceX":7,"distanceY":18,"duration":252}
toucher    multitouch at 652 336 {"scale":1.6263,"rotation":-33,"radius":166,"distanceX":13,"distanceY":-10,"duration":882}
toucher    tap at 484 225 {"duration":101}
toucher    tap at 790 551 {"duration":363}
